Mode,Time(s),Value
ohm2W,70.1438293457,33312.1999
ohm2W,70.3442916870,33315.2240
ohm2W,70.5500640869,33317.8588
ohm2W,70.7501144409,33320.3738
ohm2W,70.9502639771,33323.4278
ohm2W,71.1502838135,33326.0925
ohm2W,71.3502197266,33328.2483
ohm2W,71.5601425171,33331.6615
ohm2W,71.7602386475,33333.3682
ohm2W,71.9601745605,33337.0509
ohm2W,72.1603088379,33341.7517
ohm2W,72.3602294922,33346.4823
ohm2W,72.5602416992,33347.3506
ohm2W,72.7603836060,33348.0093
ohm2W,72.9604034424,33349.3866
ohm2W,73.1603317261,33351.0633
ohm2W,73.3604583740,33352.7400
ohm2W,73.5603866577,33353.7580
ohm2W,73.7604141235,33356.2131
ohm2W,73.9605331421,33359.3270
ohm2W,74.1604690552,33363.3091
ohm2W,74.3606338501,33366.7524
ohm2W,74.5605392456,33368.6985
ohm2W,74.7605514526,33371.5429
ohm2W,74.9605941772,33375.7945
ohm2W,75.1606292725,33380.2857
ohm2W,75.3606643677,33384.1780
ohm2W,75.5607070923,33388.5194
ohm2W,75.7607345581,33393.5795
ohm2W,75.9607772827,33397.5916
ohm2W,76.1609268188,33400.7354
ohm2W,76.3608474731,33404.2983
ohm2W,76.5608825684,33407.8912
ohm2W,76.7609405518,33411.2147
ohm2W,76.9632949829,33414.1190
ohm2W,77.1633300781,33416.9334
ohm2W,77.3644638062,33417.6520
ohm2W,77.5644836426,33418.1311
ohm2W,77.7643966675,33419.3886
ohm2W,77.9701309204,33420.8557
ohm2W,78.1702346802,33422.6222
ohm2W,78.3702011108,33423.4905
ohm2W,78.5703048706,33424.6282
ohm2W,78.7703170776,33425.5864
ohm2W,78.9794387817,33425.0474
ohm2W,79.1795654297,33424.4187
ohm2W,79.3795166016,33422.5024
ohm2W,79.5796203613,33420.2868
ohm2W,79.7796936035,33419.1790
ohm2W,79.9796447754,33418.5203
ohm2W,80.1796951294,33416.4843
ohm2W,80.3798370361,33413.9693
ohm2W,80.5802993774,33412.0830
ohm2W,80.7799606323,33409.9871
ohm2W,80.9799194336,33409.3284
ohm2W,81.1800460815,33408.9991
ohm2W,81.3800659180,33408.7895
ohm2W,81.5799255371,33408.9392
ohm2W,81.7799682617,33408.7296
ohm2W,81.9801712036,33409.2985
ohm2W,82.1893844604,33409.2985
ohm2W,82.3800811768,33409.3883
ohm2W,82.5802001953,33409.7775
ohm2W,82.7801437378,33409.4482
ohm2W,82.9801635742,33409.8374
ohm2W,83.1802139282,33410.5560
ohm2W,83.3802413940,33409.8075
ohm2W,83.5802536011,33409.5380
ohm2W,83.7802886963,33408.9392
ohm2W,83.9803009033,33408.0110
ohm2W,84.1803207397,33406.9032
ohm2W,84.3803482056,33406.3044
ohm2W,84.5803756714,33406.2146
ohm2W,84.7804107666,33405.7954
ohm2W,84.9804534912,33404.9271
ohm2W,85.1804809570,33404.3882
ohm2W,85.3906021118,33402.9809
ohm2W,85.5887680054,33400.2264
ohm2W,85.7887802124,33397.3820
ohm2W,85.9889373779,33394.5376
